Wilco Hess,40.35327,-76.72577
Restover Truck Stop,46.95271,-122.94149
Flynn's Truck Stop,42.24966,-71.71496
Kangaroo,30.45115,-88.84144
Petro Stopping Centers,32.44455,-93.89997
Joe Cooper Truck Center,35.46413,-97.55704
Sapp Brothers,39.78522,-104.9046
E-Z Trip Travel Center,36.83328,-119.91427
Rock Creek Motor Stop,45.76674,-92.9924
Flying J,41.10168,-100.72551
River Auto Truck Plaza,41.34509,-88.1933
Pilot,41.2371,-73.02374
Pilot,39.68113,-75.47877
Pilot,40.12046,-74.70682
Pilot,40.65891,-75.073
Pilot,42.49766,-73.6738
Pilot,41.5219,-74.11217
Pilot,43.08746,-76.16427
TravelCenters of America,35.19598,-118.91452
Pilot,42.1026,-75.83098
TravelCenters of America,43.04401,-70.81877
TravelCenters of America,41.91809,-72.26037
Pilot,40.13096,-80.00055
TravelCenters of America,41.56368,-72.90986
Pilot,41.14054,-78.78353
TravelCenters of America,40.93117,-75.09765
TravelCenters of America,39.82018,-75.23786
TravelCenters of America,40.65881,-75.07343
TravelCenters of America,42.94911,-74.36162
TravelCenters of America,41.50354,-74.21957
TravelCenters of America,43.00297,-78.40579
TravelCenters of America,39.9994,-78.23441
TravelCenters of America,41.17333,-79.09817
TravelCenters of America,41.19876,-79.97482
TravelCenters of America,42.14067,-79.92343
Pilot,40.96701,-80.15742
TravelCenters of America,40.95957,-77.76321
TravelCenters of America,39.78576,-77.71192
TravelCenters of America,41.02799,-77.52165
TravelCenters of America,41.01541,-76.49301
TravelCenters of America,39.64409,-75.79874
TravelCenters of America,37.72277,-77.44704
TravelCenters of America,37.75924,-77.46291
TravelCenters of America,37.38925,-79.9011
Pilot,42.06876,-80.03896
TravelCenters of America,36.06399,-79.5649
TravelCenters of America,35.5813,-78.1466
Pilot,41.03617,-77.51544
TravelCenters of America,35.54344,-82.75361
TravelCenters of America,33.70339,-80.2418
Pilot,40.231,-77.14465
TravelCenters of America,34.91575,-82.10959
Pilot,40.35221,-76.71711
TravelCenters of America,33.20707,-84.05668
Pilot,41.31416,-75.75599
Pilot,39.69503,-79.09959
TravelCenters of America,34.25355,-83.46243
TravelCenters of America,33.55256,-83.47368
TravelCenters of America,31.92622,-81.33311
TravelCenters of America,30.64546,-83.1868
Pilot,39.63412,-77.8081
TravelCenters of America,30.28494,-81.98303
TravelCenters of America,30.0659,-81.49534
TravelCenters of America,30.71864,-85.18533
TravelCenters of America,27.63917,-80.51114
TravelCenters of America,28.0101,-82.30207
TravelCenters of America,33.17617,-87.44741
Pilot,39.58878,-76.06624
TravelCenters of America,32.32646,-86.29137
Love's,37.93997,-77.4633
TravelCenters of America,35.85924,-86.82946
Pilot,37.50017,-77.09013
Pilot,37.31083,-77.39255
Pilot,37.38913,-79.90113
Pilot,37.98925,-79.16291
TravelCenters of America,36.32646,-82.83513
TravelCenters of America,35.90837,-84.14803
TravelCenters of America,35.87385,-84.23634
TravelCenters of America,32.39797,-88.58408
TravelCenters of America,39.94026,-82.53551
Pilot,36.58257,-79.35326
Pilot,38.44533,-81.82802
TravelCenters of America,39.9525,-83.37901
TravelCenters of America,41.52213,-83.46152
TravelCenters of America,41.87629,-80.66644
Pilot,36.0709,-79.33046
TravelCenters of America,41.03198,-81.90635
TravelCenters of America,41.12169,-80.76537
TravelCenters of America,40.88061,-81.4302
TravelCenters of America,40.55833,-84.16459
TravelCenters of America,39.94626,-86.35611
TravelCenters of America,39.61143,-86.47979
TravelCenters of America,41.59089,-87.24036
TravelCenters of America,42.29624,-83.87798
TravelCenters of America,41.92586,-83.3635
TravelCenters of America,43.3526,-83.86875
TravelCenters of America,41.88553,-86.59967
TravelCenters of America,44.98882,-92.65746
TravelCenters of America,45.19802,-93.55072
TravelCenters of America,43.65772,-93.31743
TravelCenters of America,41.39248,-88.4219
TravelCenters of America,38.73237,-89.90872
TravelCenters of America,39.13505,-88.57225
TravelCenters of America,38.31242,-88.95851
Love's,41.02653,-76.3178
Love's,38.96647,-78.43905
Pilot,35.49766,-80.56119
Pilot,35.27036,-80.83756
Love's,35.34107,-78.55689
Pilot,35.57256,-82.95669
Pilot,33.41624,-80.66629
Love's,36.95175,-80.88192
Love's,35.65925,-81.96396
